PS C:\Users\abigo\Downloads> python trofeo_sniffer.py --live --filter 1

 ╔══════════════════════════════════════════════════╗
 ║  Trofeo LCD USB Protocol Analyzer               ║
 ║  github.com/Abigor-DIY/Open-Trofeo-LCD          ║
 ╚══════════════════════════════════════════════════╝

 USBPcapCMD: C:\Program Files\USBPcap\USBPcapCMD.exe
 Device:     \\.\USBPcap1
 Temp file:  C:\Users\abigo\AppData\Local\Temp\trofeo_live_19808.pcap
 Press Ctrl+C to stop capture and show summary.

 ✓ USBPcapCMD running (PID 24136)
 ✓ Capture started — interact with TRCC now!
     Change themes, load images, wait a few seconds between actions.
     Press Ctrl+C when done.

   Capturing... 289.1 MB

 Stopping capture...
 Analyzing capture (289.1 MB)...

      0.000s   FRAME  #1    1920×462 336,592B/327,178B 83ch buf=0(!=2) b9=0x94 37ms
      0.063s   FRAME  #2    1920×462 252,960B/324,803B 62ch buf=0 b9=0x8f 37ms (15.9 FPS)
      0.125s   FRAME  #3    1920×462 336,592B/327,058B 83ch buf=0(!=1) b9=0x94 38ms (16.1 FPS)
      0.189s   FRAME  #4    1920×462 226,432B/327,167B 56ch buf=0(!=2) b9=0x94 37ms (15.6 FPS)
      0.251s   FRAME  #5    1920×462 334,560B/325,301B 82ch buf=0 b9=0x90 37ms (16.1 FPS)
      0.313s   FRAME  #6    1920×462 334,560B/325,107B 82ch buf=0(!=1) b9=0x90 37ms (16.2 FPS)
      0.376s   FRAME  #7    1920×462 338,640B/327,463B 83ch buf=0(!=2) b9=0x95 37ms (15.9 FPS)
      0.439s   FRAME  #8    1920×462 204,000B/327,655B 50ch buf=0 b9=0x95 37ms (15.9 FPS)
      0.500s   FRAME  #9    1920×462 324,352B/326,345B 80ch buf=0(!=1) b9=0x92 37ms (16.4 FPS)
      0.564s   FRAME  #10   1920×462 181,552B/325,435B 45ch buf=0(!=2) b9=0x91 37ms (15.6 FPS)
      0.627s   FRAME  #11   1920×462 336,592B/327,126B 83ch buf=0 b9=0x94 37ms (16.1 FPS)
      0.688s   FRAME  #12   1920×462 161,152B/327,326B 40ch buf=0(!=1) b9=0x94 38ms (16.2 FPS)
      0.750s   FRAME  #13   1920×462 336,592B/326,502B 83ch buf=0(!=2) b9=0x93 38ms (16.1 FPS)
      0.812s   FRAME  #14   1920×462 336,592B/327,176B 83ch buf=0 b9=0x94 38ms (16.1 FPS)
      0.876s   FRAME  #15   1920×462 124,432B/327,338B 31ch buf=0(!=1) b9=0x94 37ms (15.6 FPS)
      0.937s   FRAME  #16   1920×462 324,352B/326,615B 80ch buf=0(!=2) b9=0x93 37ms (16.4 FPS)
      1.000s   FRAME  #17   1920×462 332,512B/327,011B 82ch buf=0 b9=0x94 38ms (15.9 FPS)
      1.062s   FRAME  #18   1920×462 83,632B/327,000B 21ch buf=0(!=1) b9=0x94 38ms (16.1 FPS)
      1.126s   FRAME  #19   1920×462 336,592B/329,494B 83ch buf=0(!=2) b9=0x99 38ms (15.6 FPS)
      1.188s   FRAME  #20   1920×462 85,680B/330,449B 21ch buf=0 b9=0x9b 9ms (16.1 FPS)
      1.250s   FRAME  #21   1920×462 346,800B/336,512B 85ch buf=0(!=1) b9=0xa7 38ms (16.1 FPS)
      1.312s   FRAME  #22   1920×462 336,592B/325,773B 83ch buf=0(!=2) b9=0x91 38ms (16.1 FPS)
      1.374s   FRAME  #23   1920×462 338,640B/329,059B 83ch buf=0 b9=0x98 37ms (16.1 FPS)
      1.438s   FRAME  #24   1920×462 338,640B/329,129B 83ch buf=0(!=1) b9=0x98 37ms (15.6 FPS)
      1.499s   FRAME  #25   1920×462 338,640B/327,375B 83ch buf=0(!=2) b9=0x95 38ms (16.4 FPS)
      1.563s   FRAME  #26   1920×462 332,512B/326,535B 82ch buf=0 b9=0x93 37ms (15.6 FPS)
